outcome,predictor,estimate,design_se,t_value,p_value,note
Sanctions-only,(Intercept),-1.8887512553581067,0.23533742436285898,-8.025715673873883,1.29743261717225e-15,model-based SE (design-based unavailable)
Action-only,(Intercept),-2.5237327348908187,0.33094671128976166,-7.625797896753096,2.978608487021919e-14,model-based SE (design-based unavailable)
S+A,(Intercept),-3.7100901419544847,0.2746488866830314,-13.508484184158554,9.702478487362907e-41,model-based SE (design-based unavailable)
Sanctions-only,warmth_z,0.047397347154286444,0.061899823236115335,0.7657105412642367,0.44389141775347174,model-based SE (design-based unavailable)
Action-only,warmth_z,0.06317414279190442,0.10162121220873524,0.6216629522401431,0.5341971301098627,model-based SE (design-based unavailable)
S+A,warmth_z,-0.22686018001836217,0.10180017183685823,-2.2284852365664096,0.025900706051121426,model-based SE (design-based unavailable)
Sanctions-only,blame_china,0.8044872589568264,0.09272093588284924,8.676435923525162,5.742468563269686e-18,model-based SE (design-based unavailable)
Action-only,blame_china,1.6519109736569344,0.1313909945034694,12.572482458935308,1.2932912234017278e-35,model-based SE (design-based unavailable)
S+A,blame_china,2.6398279680335532,0.11304018671247268,23.353004314723755,1.556450275820979e-113,model-based SE (design-based unavailable)
Sanctions-only,party3Republican,0.10691812684701557,0.12992923586629232,0.8228950638718676,0.41061421065193604,model-based SE (design-based unavailable)
Action-only,party3Republican,0.21800913664257016,0.1860627514186059,1.171696833355382,0.2413850052104483,model-based SE (design-based unavailable)
S+A,party3Republican,0.05146659171779592,0.14767367072028278,0.34851569319544956,0.7274703321644149,model-based SE (design-based unavailable)
Sanctions-only,party3Independent,-0.26688077181227166,0.11472843945520791,-2.326195432270887,0.020055301034882452,model-based SE (design-based unavailable)
Action-only,party3Independent,0.03577130262539634,0.15550022642104006,0.23004019639521425,0.8180716952012499,model-based SE (design-based unavailable)
S+A,party3Independent,-0.05280062844811831,0.1251112805740736,-0.4220293182664458,0.6730251366050164,model-based SE (design-based unavailable)
Sanctions-only,ideo5_clean,0.15833879303035672,0.04800008585660282,3.298718954449034,9.79331748010231e-4,model-based SE (design-based unavailable)
Action-only,ideo5_clean,-0.07324208057888626,0.06688475863904227,-1.0950488881054745,0.27355777220311184,model-based SE (design-based unavailable)
S+A,ideo5_clean,0.06549264604962292,0.052864618273435617,1.2388748502991247,0.21546081632638903,model-based SE (design-based unavailable)
Sanctions-only,educ_college,0.20906728201876762,0.08959359841925649,2.3335069213363853,0.019668325850302783,model-based SE (design-based unavailable)
Action-only,educ_college,0.007007898618281181,0.12624946098990916,0.05550834485417175,0.9557361121882548,model-based SE (design-based unavailable)
S+A,educ_college,0.15852943980087517,0.09633147098876603,1.6456661376982662,0.09990705527259497,model-based SE (design-based unavailable)
Sanctions-only,age,-0.0029874757234180723,0.0026077873251260397,-1.1455979153797295,0.25202658265741024,model-based SE (design-based unavailable)
Action-only,age,-0.009357884436590427,0.0036076133921384887,-2.593926626667539,0.00952150377253682,model-based SE (design-based unavailable)
S+A,age,0.0045332295846547965,0.0027738828952195865,1.6342541325256401,0.10228016129384455,model-based SE (design-based unavailable)
Sanctions-only,female,-0.10177436807304781,0.08499921769107409,-1.1973565267734847,0.23123493681806012,model-based SE (design-based unavailable)
Action-only,female,-0.11246724098396849,0.11831581597212204,-0.950568105032284,0.3418781538337291,model-based SE (design-based unavailable)
S+A,female,-0.18329977989946794,0.09127276346179514,-2.0082637245468455,0.04467894044996483,model-based SE (design-based unavailable)
Sanctions-only,race_ethBlack,0.11315675861667959,0.1359409614669268,0.832396338790127,0.4052324152110567,model-based SE (design-based unavailable)
Action-only,race_ethBlack,-0.03729621074407934,0.20064148048033664,-0.18588484621819995,0.8525440085774786,model-based SE (design-based unavailable)
S+A,race_ethBlack,0.009868367600176278,0.1608889761276804,0.06133650569287487,0.9510941255463814,model-based SE (design-based unavailable)
Sanctions-only,race_ethHispanic,0.12201634464688466,0.14005975445930477,0.8711734867587339,0.38370903742921014,model-based SE (design-based unavailable)
Action-only,race_ethHispanic,0.30834934399913927,0.1857718333736673,1.659828287202806,0.09702337188559912,model-based SE (design-based unavailable)
S+A,race_ethHispanic,0.05209161389401119,0.16168969203462888,0.32217028332798603,0.747339669249675,model-based SE (design-based unavailable)
Sanctions-only,race_ethAsian,0.4065687334931538,0.22942998162635195,1.772081968586341,0.07645316138678955,model-based SE (design-based unavailable)
Action-only,race_ethAsian,0.08338283525199354,0.3539264432267297,0.23559368577209544,0.8137594165125746,model-based SE (design-based unavailable)
S+A,race_ethAsian,0.20638577551935847,0.2810176886864489,0.7344227208047303,0.46273198717958286,model-based SE (design-based unavailable)
Sanctions-only,race_ethOther,-0.26522459173785184,0.1859571123974576,-1.426267531897199,0.15386517465159985,model-based SE (design-based unavailable)
Action-only,race_ethOther,0.14137492403844418,0.22106393268454855,0.6395205329138058,0.5225191071079642,model-based SE (design-based unavailable)
S+A,race_ethOther,0.0628799629520315,0.1767413656717607,0.3557738886594918,0.7220277049167949,model-based SE (design-based unavailable)
Sanctions-only,newsint_attn,0.1261909376146859,0.048033116943454794,2.6271652902150717,0.008641123658739275,model-based SE (design-based unavailable)
Action-only,newsint_attn,0.1905338789025454,0.06846378683623201,2.7829877327456294,0.005410066999640933,model-based SE (design-based unavailable)
S+A,newsint_attn,0.2854057907249165,0.05490560699908388,5.198117393177688,2.1084829242046558e-7,model-based SE (design-based unavailable)
Sanctions-only,exposure_index,0.1280885908444385,0.07502617673030955,1.7072520075875393,0.08784885180522958,model-based SE (design-based unavailable)
Action-only,exposure_index,0.11738662792164904,0.10380180204078819,1.1308727364436582,0.2581729852298831,model-based SE (design-based unavailable)
S+A,exposure_index,0.14622777010119403,0.08167784531993873,1.7902990649227832,0.07347757682929446,model-based SE (design-based unavailable)
Sanctions-only,posture_z,-0.13126116688580847,0.048488627060315294,-2.707050598123389,0.006815752225833927,model-based SE (design-based unavailable)
Action-only,posture_z,-0.03358636925017898,0.06675881296659109,-0.5031001564840137,0.6149201378905896,model-based SE (design-based unavailable)
S+A,posture_z,-0.054785605519326694,0.050688355008495174,-1.0808321854229603,0.2798335900970965,model-based SE (design-based unavailable)
Sanctions-only,factor(year)2025,-0.24263733665242737,0.08713651668657466,-2.784565482749107,0.005383864953941071,model-based SE (design-based unavailable)
Action-only,factor(year)2025,-0.0558642492500693,0.11910940702541144,-0.4690162653412499,0.6390822611769804,model-based SE (design-based unavailable)
S+A,factor(year)2025,-0.12668427501376858,0.09223611883741005,-1.3734779456308466,0.16967684307644992,model-based SE (design-based unavailable)
Sanctions-only,warmth_z:blame_china,-0.19269209163504789,0.08944069489225263,-2.154411835319259,0.03126437106625193,model-based SE (design-based unavailable)
Action-only,warmth_z:blame_china,-0.15456421788856606,0.12569957350216387,-1.2296319993950122,0.21890355671267464,model-based SE (design-based unavailable)
S+A,warmth_z:blame_china,0.1342788178404166,0.11430377891054472,1.1747539680687595,0.24015950659655522,model-based SE (design-based unavailable)
