"Parameter","CC_est","CC_SE","CC_p","CC_N","MI_est","MI_SE","MI_p","MI_FMI"
"Delta_a (probe a)",-0.206103624445829,0.0669230604938623,0.00210281566102567,1847,NA,NA,NA,NA
"Delta_b (probe b)",-0.116286412944177,0.0767646514918666,0.129984707611387,1847,NA,NA,NA,NA
"Delta_c (probe c)",-0.0180980819738269,0.071371421922925,0.799851599608757,1846,NA,NA,NA,NA
"Delta_d (probe d)",0.31134939041835,0.0811821382342882,0.000129712058248348,1847,NA,NA,NA,NA
"Delta_e (probe e)",-0.0182294483464921,0.0805186436601858,0.820915333735207,1847,NA,NA,NA,NA
"Delta_f (probe f)",0.0635928984225007,0.0861344120031976,0.460427755774456,1847,NA,NA,NA,NA
"Delta_g (probe g)",-0.0846605052226369,0.0841490702652838,0.314511117299092,1847,NA,NA,NA,NA
"Delta_h (probe h)",-0.00394418251370008,0.0753626352461946,0.958266639269664,1847,NA,NA,NA,NA
"Composite boundary (mean of 7 non-target)",NA,NA,NA,NA,-0.0580085156704105,0.0277433449867587,0.0365372146450007,0.00122767147110027
"Omnibus divergence (Delta_d - composite)",NA,NA,NA,NA,0.371177266956687,0.0825327570960676,6.88125251159122e-06,0.00120989063553313
