Outcome,Warmth,P(y|blame=0),P(y|blame=1),Delta,SE(Delta),p-value
Neither,-1,0.5974,0.2843,-0.3131,0.0232,0.000***
Neither,+0,0.6035,0.2872,-0.3162,0.0176,0.000***
Neither,+1,0.6078,0.2890,-0.3188,0.0242,0.000***
Sanctions-only,-1,0.1245,0.1906,0.0661,0.0171,0.000***
Sanctions-only,+0,0.1355,0.1677,0.0323,0.0132,0.015*
Sanctions-only,+1,0.1470,0.1470,-0.0000,0.0174,1.000
IntlCoop-only,-1,0.1458,0.1226,-0.0232,0.0159,0.144
IntlCoop-only,+0,0.1445,0.1362,-0.0083,0.0118,0.482
IntlCoop-only,+1,0.1428,0.1506,0.0079,0.0162,0.627
Sanctions+IntlCoop,-1,0.1323,0.4025,0.2702,0.0233,0.000***
Sanctions+IntlCoop,+0,0.1166,0.4088,0.2922,0.0203,0.000***
Sanctions+IntlCoop,+1,0.1024,0.4134,0.3110,0.0268,0.000***
